Name,Year,Votes,NumBallots,p,YoB,PosSummary,position,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,all.star,drugs,rookie,gold.gloves,mvp,cy.young
Craig Biggio,2014,NA,NA,NA,2,*4*287/D9,2B,169,57,20,64.9,41.6,53.3,54.4,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,4,0,0
Jack Morris,2014,NA,NA,NA,15,*1/D,P,122,39,18,44.1,32.8,38.4,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,5,0,0,0,0,0
Jeff Bagwell,2014,NA,NA,NA,4,*3/D9,1B,150,59,15,79.5,48.2,63.8,51.5,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,1,1,0
Mike Piazza,2014,NA,NA,NA,2,*2D3,C,207,62,16,59.2,43.1,51.1,40.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,1,0,0,0
Tim Raines,2014,NA,NA,NA,7,*78D4/9,LF,90,47,23,69.1,42.2,55.6,50.7,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Lee Smith,2014,NA,NA,NA,12,*1,P,135,13,18,29.6,21.1,25.4,32.3,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,7,0,0,0,0,0
Curt Schilling,2014,NA,NA,NA,2,*1,P,171,46,20,79.9,49,64.4,57.9,571,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,6,0,0,0,0,0
Roger Clemens,2014,NA,NA,NA,2,*1,P,332,73,24,140.3,66.3,103.3,57.9,709,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,11,1,0,0,1,7
Barry Bonds,2014,NA,NA,NA,2,*78D/9,LF,340,76,22,162.5,72.8,117.6,50.7,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,0,7,7,0
Edgar Martinez,2014,NA,NA,NA,5,*D*5/3,DH,132,50,18,68.3,43.5,55.9,53.4,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Alan Trammell,2014,NA,NA,NA,13,*6D5/478,SS,118,40,20,70.3,44.6,57.5,52.1,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,4,0,0
Larry Walker,2014,NA,NA,NA,4,*9387/D45,RF,148,58,17,72.6,44.6,58.6,55.4,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,7,1,0
Fred McGriff,2014,NA,NA,NA,5,*3D,1B,100,48,19,52.6,36,44.3,51.5,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0
Mark McGwire,2014,NA,NA,NA,8,*3D/59,1B,170,42,16,62,41.9,52,51.5,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,1,1,0,0
